Time (s),Robot 1 Speed (m/s),Robot 2 Speed (m/s),Robot 3 Speed (m/s),Robot 4 Speed (m/s)
0.0,0.4,0.20615528128088306,0.20615528128088306,0.20615528128088306
0.1,0.8,0.41244643167569484,0.4123736276825086,0.4123493657995756
0.2,1.2,0.6190095068975802,0.6187181210364199,0.6186210392071823
0.30000000000000004,1.5999999999999999,0.8259808776195372,0.8252518688778561,0.8250090492543745
0.4,1.9999999999999998,1.0334972394180848,1.0320379978623127,1.031552079982316
0.5,2.4,1.2416954406965113,1.2391396234795733,1.238288717568485
0.6,2.8000000000000003,1.4507120610522974,1.4466197875717548,1.4452574048584728
0.7,3.2000000000000006,1.6606826697373862,1.654541354739428,1.6524963814616835
0.7999999999999999,3.600000000000001,1.871740694556938,1.8629668583059382,1.8600436061069814
0.8999999999999999,4.000000000000001,2.084015838989246,1.5993741814702973,2.0679366577506393
0.9999999999999999,4.400000000000001,2.2976320033950035,1.3576975307489656,2.2762126117120767
1.0999999999999999,4.800000000000002,2.5127046989735513,1.153991836326357,2.484907886893149
1.2,5.200000000000002,2.7293379937153452,1.0144066456668162,2.694058059925781
1.3,5.600000000000002,2.9476210983807705,0.9706785527384653,2.9036976419026734
1.4000000000000001,6.000000000000003,3.167624782988606,1.0387389107852203,3.1138598131878727
1.5000000000000002,6.400000000000003,3.3893978990741225,1.2031206335545892,3.324576111686013
1.6000000000000003,6.800000000000003,3.612964351490079,1.4339134955611101,3.5358760698719123
1.7000000000000004,7.200000000000004,3.8383208925298873,1.706724532272518,3.747786795834393
1.8000000000000005,7.600000000000004,4.065436079100972,1.6731739809937303,3.960332493538284
1.9000000000000006,8.000000000000004,4.294250629750652,1.6690494935081368,4.173533917395331
2.0000000000000004,8.400000000000002,4.310299683100609,1.6954032683532678,4.387407755953588
2.1000000000000005,8.8,4.450250568870568,1.7516055822955845,4.601965938901201
2.2000000000000006,9.2,4.724922751127346,1.8355667260350783,4.817214860387692
2.3000000000000007,9.599999999999998,5.122497965901323,1.944251308614229,5.033154509537648
2.400000000000001,9.999999999999996,5.3304012038974715,2.0742488774129897,5.249777495465872
2.500000000000001,10.399999999999995,5.539111391921058,2.222218446652485,5.467067948401664
2.600000000000001,10.799999999999994,5.748322443808046,2.3851477100216094,5.685000269728504
